"Date","Open","Hight","Low","Close","Volume"
"2007-01-03",2.05,2.05,2.05,2.05,2000
"2007-01-04",NA,NA,NA,2.05,0
"2007-01-05",1.9,2.05,1.8,2.05,2500
"2007-01-08",1.95,1.95,1.8,1.95,4500
"2007-01-09",NA,NA,NA,1.95,0
"2007-01-10",1.9,1.9,1.81,1.81,4500
"2007-01-11",NA,NA,NA,1.81,0
"2007-01-12",2,2,2,2,2500
"2007-01-16",NA,NA,NA,2,0
"2007-01-17",NA,NA,NA,2,0
"2007-01-18",NA,NA,NA,2,0
"2007-01-19",NA,NA,NA,2,0
"2007-01-22",2,2,2,2,2500
"2007-01-23",2,2.03,2,2.03,10575
"2007-01-24",NA,NA,NA,2.03,0
"2007-01-25",1.9,2.02,1.9,2.02,8100
"2007-01-26",2.02,2.02,1.9,2.02,1800
"2007-01-29",1.9,2.02,1.85,2.02,10590
"2007-01-30",1.9,2,1.84,2,3600
"2007-01-31",NA,NA,NA,2,0
"2007-02-01",1.95,2,1.95,2,380
"2007-02-02",NA,NA,NA,2,0
"2007-02-05",2,2,1.95,1.95,1980
"2007-02-06",1.85,2,1.85,2,1700
"2007-02-07",1.95,1.95,1.95,1.95,100
"2007-02-08",2,2,2,2,12020
"2007-02-09",2,2.05,2,2,14400
"2007-02-12",2,2,2,2,13500
"2007-02-13",2,2,2,2,5950
"2007-02-14",2.02,2.18,2.02,2.02,9534
"2007-02-15",2.02,2.02,1.95,1.95,7265
"2007-02-16",NA,NA,NA,1.95,0
"2007-02-20",1.96,2.06,1.96,2.06,5200
"2007-02-21",1.96,2.17,1.96,2.05,27600
"2007-02-22",2.15,2.28,2.15,2.28,67850
"2007-02-23",2.25,2.25,2.1,2.1,7500
"2007-02-26",2.15,2.15,2.15,2.15,1000
"2007-02-27",2.1,2.15,2.1,2.1,9800
"2007-02-28",2.1,2.1,2.05,2.1,5000
"2007-03-01",2.01,2.1,2.01,2.1,2000
"2007-03-02",2.1,2.1,2.1,2.1,1000
"2007-03-05",2,2.05,1.9,2.05,10000
"2007-03-06",2,2,1.9,1.95,9650
"2007-03-07",1.95,2.1,1.95,2,6710
"2007-03-08",2,2,2,2,100
"2007-03-09",2.04,2.1,2.04,2.1,1875
"2007-03-12",NA,NA,NA,2.1,0
"2007-03-13",NA,NA,NA,2.1,0
"2007-03-14",2,2.05,2,2.05,8695
"2007-03-15",2,2.05,2,2.05,2405
"2007-03-16",2.08,2.1,2.08,2.1,1000
"2007-03-19",2.1,2.1,2,2,1000
"2007-03-20",2.05,2.05,2.05,2.05,440
"2007-03-21",2.1,2.1,2.1,2.1,100
"2007-03-22",NA,NA,NA,2.1,0
"2007-03-23",2.05,2.1,2.05,2.1,2500
"2007-03-26",2,2.05,2,2.05,7660
"2007-03-27",2.05,2.05,2.05,2.05,1000
"2007-03-28",2,2,2,2,29200
