"Date","Open","Hight","Low","Close","Volume"
"2007-01-03",10.04,10.32,10,10,3953
"2007-01-04",10.32,10.32,10,10.2,1364
"2007-01-05",10.32,10.32,10.16,10.24,162
"2007-01-08",10.32,10.32,10,10.12,950
"2007-01-09",10,10.12,10,10.12,75
"2007-01-10",10.04,10.12,10,10.12,675
"2007-01-11",10.12,10.16,10,10.08,350
"2007-01-12",10.04,10.08,10.04,10.08,50
"2007-01-16",10.12,10.2,10,10,494
"2007-01-17",10.04,10.04,10,10,10758
"2007-01-18",10.32,10.32,10,10,425
"2007-01-19",10.08,10.12,10,10,375
"2007-01-22",10,10.2,10,10.04,204
"2007-01-23",10.04,10.04,10,10.04,152
"2007-01-24",10,10.32,10,10.24,2214
"2007-01-25",10.36,10.36,10,10,829
"2007-01-26",NA,NA,NA,10,0
"2007-01-29",10.04,10.04,10,10,666
"2007-01-30",10.04,10.28,10.04,10.08,1425
"2007-01-31",10.32,11.52,10.24,10.44,35679
"2007-02-01",10.68,10.68,10,10.2,2388
"2007-02-02",10.08,10.28,9.92,10.08,3100
"2007-02-05",10.08,10.16,10,10.04,2136
"2007-02-06",10.03,10.08,10,10.08,632
"2007-02-07",10,10.12,10,10,434
"2007-02-08",10.12,10.12,10,10,1590
"2007-02-09",10,10.08,10,10.08,462
"2007-02-12",9.8,10.08,9.8,10,666
"2007-02-13",10.12,10.12,10.04,10.08,890
"2007-02-14",10,10.04,10,10.04,300
"2007-02-15",10,10.08,10,10.08,294
"2007-02-16",10,10.08,10,10.08,544
"2007-02-20",10,10.04,10,10.04,4400
"2007-02-21",10.04,10.08,10,10.04,1825
"2007-02-22",10.08,10.08,10,10.04,2328
"2007-02-23",10.08,10.08,10.04,10.04,450
"2007-02-26",10.08,10.32,10.08,10.2,355
"2007-02-27",10.08,10.32,10,10.24,688
"2007-02-28",10.28,10.28,10.24,10.24,75
"2007-03-01",10.28,10.32,10.28,10.32,50
"2007-03-02",10.4,10.4,10.2,10.36,75
"2007-03-05",10.08,10.36,10,10,450
"2007-03-06",10.2,10.2,10.04,10.16,420
"2007-03-07",10.16,10.16,10.16,10.16,68
"2007-03-08",10.08,10.12,10,10.12,546
"2007-03-09",10.04,10.16,10,10,21071
"2007-03-12",10.2,10.4,10.2,10.4,1400
"2007-03-13",10.44,10.44,10.24,10.24,162
"2007-03-14",NA,NA,NA,10.24,0
"2007-03-15",10.24,10.29,10,10.04,498
"2007-03-16",10.04,10.52,10,10.52,525
"2007-03-19",10.2,10.2,10.06,10.2,438
"2007-03-20",10.2,10.2,10.06,10.12,500
"2007-03-21",10.12,10.28,10.12,10.24,3044
