"Date","Open","Hight","Low","Close","Volume"
"2016-07-22",12,15,12,13.53,1392930
"2016-07-25",13.6,13.75,12.53,13,892353
"2016-07-26",13.29,13.52,12.65,13.21,779877
"2016-07-27",13.49,14.3,12.86,14.1,1005243
"2016-07-28",13.95,14.85,13.53,14.27,317888
"2016-07-29",13.95,14.42,13.76,14.1,218859
"2016-08-01",13.99,14.32,13.93,14.08,127887
"2016-08-02",14,14.23,13.76,13.98,224862
"2016-08-03",13.87,14.15,13.76,13.93,415099
"2016-08-04",14.02,14.8,13.26,13.8,299640
"2016-08-05",14,14,13.49,13.84,189485
"2016-08-08",13.91,14.08,13.13,13.65,310605
"2016-08-09",13.62,13.74,12.95,13.07,320161
"2016-08-10",13.03,13.25,12.72,12.99,210582
"2016-08-11",12.8,13.16,12.71,12.88,158105
"2016-08-12",13,13,12.6,12.72,171101
"2016-08-15",12.77,13.29,12.6,13,194517
"2016-08-16",12.95,13.24,12.9,12.93,72634
"2016-08-17",13.34,13.34,12.71,12.8,136716
"2016-08-18",12.75,13.25,12.67,12.89,120279
"2016-08-19",12.95,13.21,12.93,13.17,266475
"2016-08-22",13.23,13.91,13.15,13.5,271529
"2016-08-23",13.27,13.47,12.13,12.29,339066
"2016-08-24",12.1,12.76,11.91,12.61,343784
"2016-08-25",12.67,13.31,12.48,13.23,108542
"2016-08-26",13.38,13.58,13.16,13.56,195045
"2016-08-29",13.7,14.4,13.53,14.36,162322
"2016-08-30",14.54,14.61,14.18,14.6,387528
"2016-08-31",14.54,14.88,13.71,14.79,76600
"2016-09-01",14.9,15.06,14.19,14.97,121288
"2016-09-02",15,15,14.76,14.93,229907
"2016-09-06",14.86,15.03,14.8,14.98,162668
"2016-09-07",15,15,14.86,14.94,80650
"2016-09-08",15,15,14.76,14.83,101310
"2016-09-09",14.86,14.95,14.65,14.91,219486
"2016-09-12",14.98,15,14.81,14.92,155865
"2016-09-13",14.99,15,14.8,14.98,106949
"2016-09-14",15,15.25,14.81,14.99,457667
"2016-09-15",15.05,15.05,14.76,14.97,313772
"2016-09-16",14.9,14.99,14.59,14.87,377554
"2016-09-19",14.9,15.05,14.83,15.01,151264
"2016-09-20",14.98,15.15,14.95,15.06,52590
"2016-09-21",15.12,15.16,14.75,14.97,87707
"2016-09-22",15,15.22,14.96,15.13,68896
"2016-09-23",15.1,15.37,15.01,15.15,56774
"2016-09-26",15.08,15.44,14.94,15.4,42789
"2016-09-27",15.11,16.62,15.11,15.64,61084
"2016-09-28",15.72,15.89,15.61,15.65,97105
"2016-09-29",15.55,15.79,15.51,15.66,73610
"2016-09-30",15.7,15.86,15.55,15.8,76020
"2016-10-03",15.9,15.9,15.53,15.75,90861
"2016-10-04",15.98,16.1,15.7,16.04,58767
"2016-10-05",16.13,16.34,15.5,15.64,146397
"2016-10-06",15.55,16.69,15.37,16.12,184551
"2016-10-07",16.03,16.31,15.76,15.95,65040
"2016-10-10",15.57,16.25,15.57,16.15,52317
"2016-10-11",15.95,16.28,15.57,15.64,73042
"2016-10-12",15.37,15.57,15.27,15.48,60137
"2016-10-13",15.67,15.74,15,15,54390
"2016-10-14",15.11,15.33,14.8,15,99907
"2016-10-17",15.08,15.28,14.85,15.22,51734
"2016-10-18",15.22,15.85,15.22,15.77,53480
"2016-10-19",15.81,15.85,15.51,15.56,50328
"2016-10-20",15.66,15.66,15.08,15.18,54703
"2016-10-21",15.07,15.37,15.06,15.31,33405
"2016-10-24",15.22,15.36,15.14,15.18,52476
"2016-10-25",15.04,15.6,14.97,15.07,113404
"2016-10-26",15.1,15.13,15,15.02,24676
"2016-10-27",15.03,15.03,14.77,14.94,77989
