"Date","Open","Hight","Low","Close","Volume"
"2007-01-03",38.15,39.51,38.09,38.81,242549
"2007-01-04",38.87,39.45,38.05,39.19,197144
"2007-01-05",39.13,39.13,38.11,38.34,155033
"2007-01-08",38.12,38.17,37.52,37.82,263075
"2007-01-09",37.65,37.77,36.6,37.24,216731
"2007-01-10",37.01,37.46,36.96,37.34,121296
"2007-01-11",37.53,38.2,37.53,37.8,166424
"2007-01-12",37.71,37.96,37.25,37.68,102618
"2007-01-16",37.76,37.92,36.79,37.29,142765
"2007-01-17",37.21,37.25,36.45,36.5,230522
"2007-01-18",36.45,36.6,35.67,35.79,199144
"2007-01-19",35.87,36.39,35.46,36.14,136593
"2007-01-22",36.24,36.24,35.14,35.86,128343
"2007-01-23",35.85,35.91,35.4,35.72,109584
"2007-01-24",35.8,35.9,35.53,35.82,79487
"2007-01-25",35.88,35.88,35.02,35.16,226985
"2007-01-26",35.3,35.43,34.59,35,340220
"2007-01-29",34.92,35.47,34.7,35.12,140290
"2007-01-30",35.16,35.37,34.87,35.14,91052
"2007-01-31",35.02,36.15,34.96,36,196306
"2007-02-01",36.16,36.26,35.16,35.3,134835
"2007-02-02",35.22,35.65,35.2,35.47,118262
"2007-02-05",35.29,35.64,35.16,35.38,105103
"2007-02-06",35.41,35.57,35.29,35.54,147039
"2007-02-07",35.53,35.81,35.29,35.8,133507
"2007-02-08",35.67,36,35.51,35.96,87692
"2007-02-09",36,36,35,35.25,148279
"2007-02-12",35.16,35.29,34.75,35,135554
"2007-02-13",35.15,35.4,34.87,35.23,102217
"2007-02-14",35.22,35.47,34.98,35.41,138249
"2007-02-15",35.5,35.63,35.21,35.37,114782
"2007-02-16",35.37,35.48,35.04,35.23,123416
"2007-02-20",35.35,36.17,34.98,35.82,145161
"2007-02-21",35.77,36.49,35.64,36.34,114946
"2007-02-22",36.31,36.61,36.09,36.53,125118
"2007-02-23",36.4,36.48,36.13,36.43,350721
"2007-02-26",36.5,36.66,35.4,35.76,152571
"2007-02-27",35.68,35.75,34.5,34.8,247215
"2007-02-28",34.72,34.85,33.92,34.35,185707
"2007-03-01",33.94,34.78,33.66,34.33,229977
"2007-03-02",34,34.29,33.75,34,204894
"2007-03-05",33.71,34.49,33.21,33.21,344163
"2007-03-06",33.58,34.35,33.3,33.75,275303
"2007-03-07",33.91,34.62,33.75,34.62,471140
"2007-03-08",35.04,35.59,34.58,35.38,379618
"2007-03-09",37.29,37.75,35.09,35.89,863630
"2007-03-12",35.58,37.3,35.58,37.09,605134
