"Date","Open","Hight","Low","Close","Volume"
"2008-06-25",2.8,2.8,1.26,1.26,27800
"2008-06-26",1.3,1.3,1.3,1.3,20702
"2008-06-27",1.3,1.3,1.3,1.3,5648
"2008-06-30",1.31,1.35,1.31,1.35,21167
"2008-07-01",1.35,1.35,1.35,1.35,6000
"2008-07-02",1.35,1.35,1.35,1.35,5462
"2008-07-10",1.35,1.35,1.35,1.35,500
"2008-07-17",1.35,1.35,1.35,1.35,13700
"2008-08-01",1.3,1.3,1.3,1.3,500
"2008-08-05",1.3,1.3,1.3,1.3,1000
"2008-08-07",1.3,1.3,1.3,1.3,500
"2008-08-15",1.3,1.3,1.29,1.29,780
"2008-08-20",1.29,1.29,1.29,1.29,869
"2008-08-21",1.05,1.25,1.05,1.25,3000
"2008-08-22",1.25,1.25,1.25,1.25,1500
"2008-08-26",1.35,1.35,1.35,1.35,100
"2008-09-02",1.3,1.3,1.3,1.3,100
"2008-09-09",1.3,1.3,1.3,1.3,300
"2008-09-10",1.3,1.3,1.3,1.3,100
"2008-09-17",1.3,1.3,1.3,1.3,330
"2008-09-19",1.29,1.29,1.1,1.2,2800
"2008-09-22",1.19,1.19,1.19,1.19,100
"2008-09-26",1,1.3,1,1.15,5736
"2008-09-29",1.2,1.3,1.2,1.2,717
"2008-10-07",1,1,1,1,3500
"2008-10-08",1,1.2,1,1.2,4236
"2008-10-15",1,1,1,1,890
"2008-10-20",0.25,1,0.25,1,20100
"2008-10-21",1,1,1,1,100
"2008-10-22",0.25,1,0.25,0.25,14500
"2008-10-23",0.55,0.55,0.25,0.55,38350
"2008-10-24",0.55,0.55,0.55,0.55,900
"2008-10-27",0.52,0.52,0.52,0.52,1886
"2008-10-28",0.5,0.5,0.5,0.5,500
"2008-10-29",0.3,0.5,0.3,0.49,5300
"2008-11-04",0.47,0.49,0.47,0.49,4000
"2008-11-05",0.26,0.26,0.26,0.26,300
"2008-11-06",0.49,0.49,0.49,0.49,300
"2008-11-07",0.47,0.47,0.26,0.26,3000
"2008-11-10",0.49,0.49,0.49,0.49,1000
"2008-11-18",0.49,0.49,0.48,0.49,27400
"2008-11-19",0.49,0.75,0.49,0.75,10600
"2008-11-28",0.75,0.75,0.75,0.75,1000
"2008-12-03",0.75,1.01,0.75,1.01,6200
"2008-12-12",1,1,1,1,100
"2008-12-29",0.75,0.75,0.75,0.75,1000
"2008-12-30",0.35,0.35,0.35,0.35,1305
"2009-01-09",0.6,0.6,0.6,0.6,395
"2009-01-21",0.4,0.4,0.4,0.4,41500
"2009-01-26",0.25,0.25,0.25,0.25,10700
"2009-01-27",0.25,0.25,0.25,0.25,2300
"2009-01-28",0.25,0.25,0.25,0.25,948
"2009-01-29",0.25,0.6,0.25,0.6,1400
"2009-02-02",0.25,0.25,0.2,0.2,8700
"2009-02-05",0.51,0.51,0.51,0.51,4460
"2009-02-09",0.06,0.15,0.06,0.12,650000
"2009-02-10",0.14,0.2,0.13,0.19,406450
"2009-02-11",0.2,0.23,0.16,0.2,426483
"2009-02-12",0.2,0.28,0.2,0.28,240010
"2009-02-13",0.3,0.3,0.27,0.27,120800
"2009-02-17",0.3,0.3,0.26,0.29,51849
"2009-02-18",0.29,0.35,0.29,0.35,128175
"2009-02-19",0.36,0.38,0.35,0.36,171848
"2009-02-20",0.36,0.42,0.36,0.42,198060
"2009-02-23",0.42,0.42,0.28,0.4,115900
"2009-02-24",0.39,0.39,0.25,0.32,62332
"2009-02-25",0.34,0.34,0.2,0.28,39411
"2009-02-26",0.28,0.3,0.25,0.25,20501
"2009-02-27",0.3,0.3,0.26,0.3,17055
"2009-03-02",0.3,0.3,0.2,0.3,3250
"2009-03-03",0.2,0.28,0.2,0.24,67050
"2009-03-04",0.23,0.3,0.2,0.24,142500
"2009-03-05",0.25,0.3,0.24,0.3,39400
"2009-03-06",0.28,0.37,0.25,0.37,184830
"2009-03-09",0.4,0.4,0.21,0.21,90101
"2009-03-10",0.21,0.21,0.2,0.21,42752
"2009-03-11",0.21,0.3,0.2,0.3,528101
"2009-03-12",0.25,0.4,0.2,0.25,115329
"2009-03-13",0.35,0.4,0.29,0.38,75979
"2009-03-16",0.34,0.38,0.23,0.38,27200
"2009-03-17",0.25,0.25,0.23,0.24,92250
"2009-03-18",0.24,0.35,0.18,0.35,133346
"2009-03-19",0.18,0.3,0.18,0.3,4762
"2009-03-20",0.23,0.23,0.23,0.23,13500
"2009-03-23",0.23,0.23,0.19,0.19,49300
"2009-03-24",0.21,0.25,0.21,0.25,2350
"2009-03-25",0.2,0.27,0.18,0.18,130714
"2009-03-26",0.18,0.18,0.15,0.18,57260
"2009-03-27",0.17,0.28,0.17,0.26,37610
"2009-03-30",0.27,0.27,0.2,0.2,148270
"2009-03-31",0.2,0.25,0.19,0.25,75972
"2009-04-01",0.2,0.25,0.18,0.25,173975
"2009-04-02",0.2,0.23,0.19,0.23,346935
"2009-04-03",0.24,0.27,0.19,0.23,54460
"2009-04-06",0.25,0.28,0.25,0.25,86606
"2009-04-07",0.25,0.25,0.24,0.24,5500
"2009-04-08",0.23,0.3,0.2,0.3,18636
"2009-04-09",0.2,0.39,0.2,0.37,101539
"2009-04-13",0.38,0.39,0.32,0.39,44450
"2009-04-14",0.36,0.43,0.36,0.41,96465
"2009-04-15",0.41,0.45,0.41,0.44,45178
"2009-04-16",0.44,0.44,0.4,0.44,40449
"2009-04-17",0.44,0.45,0.44,0.44,9550
"2009-04-20",0.45,0.46,0.41,0.46,23050
"2009-04-21",0.46,0.46,0.42,0.46,11200
"2009-04-22",0.46,0.6,0.46,0.58,116666
"2009-04-23",0.6,0.63,0.42,0.61,120397
"2009-04-24",0.61,0.66,0.6,0.64,68569
"2009-04-27",0.67,0.69,0.64,0.69,133431
"2009-04-28",0.7,0.76,0.55,0.75,166150
"2009-04-29",0.71,0.75,0.68,0.74,77103
"2009-04-30",0.72,0.75,0.65,0.74,12066
"2009-05-01",0.74,0.75,0.7,0.72,23368
"2009-05-04",0.7,0.7,0.51,0.7,34888
"2009-05-05",0.7,0.7,0.51,0.52,13366
"2009-05-06",0.6,0.6,0.55,0.58,37542
