"Date","Open","Hight","Low","Close","Volume"
"2007-01-03",1.27,1.27,1.23,1.26,773046
"2007-01-04",1.24,1.26,1.18,1.26,606279
"2007-01-05",1.25,1.26,1.2,1.23,136445
"2007-01-08",1.23,1.34,1.23,1.27,1335319
"2007-01-09",1.27,1.29,1.26,1.29,424650
"2007-01-10",1.29,1.3,1.25,1.27,312561
"2007-01-11",1.27,1.3,1.26,1.3,363209
"2007-01-12",1.3,1.3,1.25,1.29,154416
"2007-01-16",1.3,1.32,1.27,1.28,226171
"2007-01-17",1.28,1.29,1.27,1.29,170107
"2007-01-18",1.26,1.3,1.26,1.28,291173
"2007-01-19",1.26,1.28,1.25,1.28,77036
"2007-01-22",1.26,1.29,1.26,1.28,221101
"2007-01-23",1.26,1.29,1.21,1.29,256642
"2007-01-24",1.29,1.35,1.26,1.35,650998
"2007-01-25",1.35,1.35,1.31,1.33,215613
"2007-01-26",1.33,1.45,1.32,1.43,979142
"2007-01-29",1.45,1.53,1.4,1.42,897240
"2007-01-30",1.45,1.48,1.42,1.44,326198
"2007-01-31",1.46,1.48,1.42,1.48,258106
"2007-02-01",1.5,1.56,1.48,1.51,882818
"2007-02-02",1.51,1.51,1.47,1.48,191246
"2007-02-05",1.5,1.53,1.48,1.48,538297
"2007-02-06",1.48,1.59,1.48,1.57,693355
"2007-02-07",1.56,1.6,1.52,1.6,628607
"2007-02-08",1.64,1.64,1.56,1.6,330149
"2007-02-09",1.6,1.6,1.55,1.59,151607
"2007-02-12",1.59,1.6,1.5,1.5,386910
"2007-02-13",1.51,1.53,1.51,1.53,314470
"2007-02-14",1.58,1.58,1.42,1.49,1199913
"2007-02-15",1.5,1.5,1.35,1.4,819410
"2007-02-16",1.39,1.45,1.34,1.43,694390
"2007-02-20",1.41,1.42,1.38,1.38,311178
"2007-02-21",1.37,1.38,1.32,1.35,753858
"2007-02-22",1.37,1.48,1.3,1.44,1031147
"2007-02-23",1.41,1.45,1.38,1.39,122969
"2007-02-26",1.4,1.45,1.4,1.45,367813
"2007-02-27",1.43,1.43,1.35,1.38,385327
"2007-02-28",1.38,1.4,1.32,1.4,364374
"2007-03-01",1.4,1.42,1.33,1.37,385685
"2007-03-02",1.35,1.37,1.33,1.35,154188
"2007-03-05",1.32,1.37,1.3,1.34,238069
"2007-03-06",1.33,1.4,1.32,1.39,220150
"2007-03-07",1.39,1.39,1.35,1.35,54814
"2007-03-08",1.39,1.39,1.37,1.38,68585
"2007-03-09",1.38,1.39,1.36,1.36,46966
"2007-03-12",1.36,1.39,1.35,1.36,123731
"2007-03-13",1.36,1.37,1.35,1.36,191187
"2007-03-14",1.26,1.38,1.26,1.35,372873
"2007-03-15",1.35,1.39,1.32,1.35,118961
"2007-03-16",1.38,1.38,1.31,1.35,88121
"2007-03-19",1.32,1.35,1.31,1.34,162532
"2007-03-20",1.32,1.37,1.32,1.35,65795
"2007-03-21",1.37,1.47,1.35,1.46,322292
"2007-03-22",1.46,1.53,1.43,1.5,407372
"2007-03-23",1.52,1.52,1.45,1.49,153032
"2007-03-26",1.51,1.51,1.45,1.46,124508
"2007-03-27",1.45,1.5,1.45,1.49,102277
"2007-03-28",1.52,1.57,1.49,1.55,656955
"2007-03-29",1.5,1.57,1.44,1.46,414621
"2007-03-30",1.5,1.53,1.48,1.51,174053
"2007-04-02",1.5,1.51,1.47,1.47,98257
"2007-04-03",1.51,1.51,1.48,1.49,92682
"2007-04-04",1.51,1.6,1.51,1.55,431091
"2007-04-05",1.58,1.58,1.48,1.5,287599
"2007-04-09",1.53,1.56,1.5,1.52,104376
"2007-04-10",1.55,1.55,1.45,1.52,410936
"2007-04-11",1.55,1.55,1.48,1.48,153048
"2007-04-12",1.47,1.51,1.47,1.5,113111
"2007-04-13",1.54,1.54,1.48,1.5,147791
"2007-04-16",1.52,1.6,1.5,1.6,476971
"2007-04-17",1.6,1.72,1.6,1.72,1619016
"2007-04-18",1.72,1.91,1.7,1.78,1795603
"2007-04-19",1.78,1.88,1.78,1.81,750251
"2007-04-20",1.78,1.84,1.7,1.73,417399
"2007-04-23",1.77,1.8,1.7,1.74,252204
"2007-04-24",1.71,1.78,1.62,1.65,598904
"2007-04-25",1.65,1.75,1.65,1.71,391052
"2007-04-26",1.73,1.76,1.69,1.7,281302
"2007-04-27",1.72,1.72,1.68,1.69,140628
"2007-04-30",1.73,1.73,1.65,1.7,244294
"2007-05-01",1.7,1.72,1.67,1.72,149805
"2007-05-02",1.74,1.74,1.69,1.7,165546
"2007-05-03",1.73,1.8,1.65,1.67,409295
"2007-05-04",1.65,1.73,1.65,1.7,363055
"2007-05-07",1.7,1.75,1.68,1.75,388744
"2007-05-08",1.75,1.93,1.73,1.91,1471095
"2007-05-09",1.87,1.97,1.87,1.94,865007
"2007-05-10",1.9,1.95,1.86,1.86,588627
"2007-05-11",1.81,1.95,1.8,1.94,731834
"2007-05-14",1.93,1.95,1.87,1.9,309372
"2007-05-15",1.9,1.9,1.8,1.86,521235
"2007-05-16",1.86,1.87,1.76,1.81,278712
"2007-05-17",1.8,1.91,1.78,1.87,359968
"2007-05-18",1.89,1.96,1.85,1.95,369872
"2007-05-21",1.95,2.07,1.92,2,1366543
"2007-05-22",2.03,2.07,2,2.05,379071
"2007-05-23",2.05,2.05,1.95,1.96,315358
"2007-05-24",2.01,2.01,1.9,1.92,254298
"2007-05-25",1.92,1.99,1.91,1.94,140139
"2007-05-29",1.93,2.01,1.92,1.97,171602
"2007-05-30",1.95,1.97,1.93,1.97,111220
"2007-05-31",2,2,1.91,1.95,317251
