"Date","Open","Hight","Low","Close","Volume"
"2007-01-03",6.1,6.15,6.03,6.08,15726
"2007-01-04",6.04,6.04,5.95,5.98,9249
"2007-01-05",5.9,5.93,5.89,5.9,11996
"2007-01-08",5.9,6.09,5.81,6.05,11754
"2007-01-09",5.9,6.08,5.9,6.03,15156
"2007-01-10",6.03,6.12,5.97,6.12,6029
"2007-01-11",6.07,6.15,6,6.12,64849
"2007-01-12",6.15,6.25,6.13,6.25,193519
"2007-01-16",6.25,6.61,6.25,6.57,32125
"2007-01-17",6.68,6.74,6.46,6.5,29613
"2007-01-18",6.55,6.67,6.51,6.66,33988
"2007-01-19",6.72,6.98,6.51,6.88,42360
"2007-01-22",7,7.06,6.51,6.69,46136
"2007-01-23",6.57,6.79,6.57,6.66,27768
"2007-01-24",6.57,6.69,6.57,6.62,17400
"2007-01-25",6.32,6.7,6.32,6.58,11639
"2007-01-26",6.61,6.68,6.54,6.58,12987
"2007-01-29",6.61,6.61,6.28,6.35,39217
"2007-01-30",6.5,6.54,6.14,6.48,62392
"2007-01-31",6.48,6.48,6.26,6.32,54672
"2007-02-01",6.28,6.43,6.22,6.36,31933
"2007-02-02",6.37,6.54,6.36,6.53,18484
"2007-02-05",6.53,6.55,6.51,6.51,16979
"2007-02-06",6.55,6.55,6.5,6.5,8775
"2007-02-07",6.5,6.73,6.5,6.71,23064
"2007-02-08",6.81,6.9,6.77,6.82,22039
"2007-02-09",6.9,6.96,6.8,6.82,13986
"2007-02-12",6.83,6.9,6.75,6.75,17520
"2007-02-13",6.82,7.1,6.82,6.97,40641
"2007-02-14",7,7.18,6.76,6.95,89558
"2007-02-15",6.9,7.26,6.9,7.03,62641
"2007-02-16",6.99,7.21,6.9,7.21,119319
"2007-02-20",7.22,7.77,7.22,7.75,79898
"2007-02-21",7.71,7.95,7.5,7.57,63818
"2007-02-22",7.53,7.77,7.53,7.71,39126
"2007-02-23",7.77,7.95,7.61,7.82,56881
"2007-02-26",7.88,8.01,7.64,7.88,77854
"2007-02-27",7.97,8.02,7.62,7.89,68077
"2007-02-28",7.9,7.9,7.78,7.78,39298
"2007-03-01",7.78,8.23,7.64,8.08,113129
"2007-03-02",8,8.33,7.92,8.33,158872
"2007-03-05",8.13,8.45,8.09,8.31,134852
"2007-03-06",8.5,8.65,8.18,8.27,119657
"2007-03-07",8.36,8.41,8.05,8.17,34332
"2007-03-08",8.2,8.47,8.02,8.14,73279
"2007-03-09",7.88,8.39,7.88,8.22,64178
"2007-03-12",8.28,8.39,8.13,8.18,34843
"2007-03-13",8.09,8.14,7.94,8.05,73396
"2007-03-14",7.8,8.47,7,8.47,109397
"2007-03-15",8.3,8.48,8.3,8.38,39674
"2007-03-16",8.45,8.47,8.23,8.39,16317
"2007-03-19",8.45,8.47,8.2,8.2,32749
"2007-03-20",7.98,8.27,7.67,8.27,36536
"2007-03-21",8.22,8.23,8.15,8.2,3925
"2007-03-22",8.37,8.37,8.27,8.34,60767
"2007-03-23",8.33,8.34,8.3,8.33,3734
"2007-03-26",8.25,8.37,8.15,8.37,39906
"2007-03-27",8.38,8.97,8.11,8.64,138412
"2007-03-28",8.9,8.93,8.43,8.53,36670
"2007-03-29",8.63,8.9,8.57,8.58,15331
"2007-03-30",8.58,8.58,8.16,8.44,40164
"2007-04-02",8.51,8.86,8.48,8.67,25258
"2007-04-03",8.5,8.62,8.44,8.55,99450
"2007-04-04",8.62,8.78,8.56,8.65,33950
"2007-04-05",8.59,8.78,8.51,8.55,23302
"2007-04-09",8.7,8.8,8.56,8.79,21351
"2007-04-10",9,9,8.7,8.84,25784
"2007-04-11",8.57,9.01,8.57,8.98,130010
"2007-04-12",8.98,9.1,8.87,9.04,51345
"2007-04-13",9.1,9.1,9.05,9.07,18044
"2007-04-16",9.05,9.44,8.91,9.39,111575
"2007-04-17",9.35,9.44,9.3,9.36,63237
"2007-04-18",9.4,9.57,9.37,9.43,39873
"2007-04-19",9.35,9.72,9.25,9.55,47525
"2007-04-20",9.55,9.88,9.55,9.76,51600
"2007-04-23",9.66,9.88,9.63,9.8,78648
"2007-04-24",9.32,10,9.32,9.94,69054
"2007-04-25",9.74,9.74,8.79,9.33,126525
"2007-04-26",9.28,9.49,8.88,9.27,104606
"2007-04-27",9.09,9.24,8.85,8.99,98413
"2007-04-30",8.99,8.99,8.75,8.79,81839
"2007-05-01",8.75,8.92,8.71,8.74,63152
"2007-05-02",8.93,8.93,8.72,8.73,89086
"2007-05-03",8.78,8.82,8.66,8.7,59567
"2007-05-04",8.6,8.7,8.36,8.43,79558
"2007-05-07",8.34,8.34,8,8.26,110971
"2007-05-08",8.11,8.25,8.07,8.16,60943
"2007-05-09",8.07,8.25,7.98,8.02,123230
"2007-05-10",7.82,8.14,7.81,8,92543
"2007-05-11",8,8.13,7.85,8.02,24743
"2007-05-14",7.86,8.05,7.56,8.04,185405
"2007-05-15",8.05,8.07,7.78,8.01,52051
"2007-05-16",7.95,8.02,7.8,8.02,27951
"2007-05-17",8,8.25,8,8.16,28005
"2007-05-18",8.11,8.19,7.89,8.07,42890
"2007-05-21",8,8.22,8,8.06,66542
"2007-05-22",8.01,8.24,8.01,8.12,47985
"2007-05-23",8.05,8.46,8,8.37,32905
