"Date","Open","Hight","Low","Close","Volume"
"2007-01-03",20.64,20.95,20.5,20.7,4685822
"2007-01-04",20.56,20.86,20.42,20.78,4804062
"2007-01-05",20.5,20.59,20.11,20.46,3801196
"2007-01-08",20.48,20.58,20.28,20.38,2691486
"2007-01-09",20.34,20.35,19.99,20.16,3411408
"2007-01-10",19.99,20.15,19.92,20.13,4608616
"2007-01-11",20.04,20.24,20.03,20.07,4240850
"2007-01-12",20.16,20.52,20.1,20.38,4696590
"2007-01-16",21.02,21.06,20.88,21,3614046
"2007-01-17",20.86,20.92,20.6,20.67,3102746
"2007-01-18",20.63,20.63,20.16,20.27,4684890
"2007-01-19",20.18,20.42,20.16,20.35,2444498
"2007-01-22",20.38,20.38,20.1,20.2,1761446
"2007-01-23",20.26,20.4,20.2,20.27,3063140
"2007-01-24",20.31,20.46,20.24,20.44,2336012
"2007-01-25",20.63,20.68,20.12,20.24,2278876
"2007-01-26",20.32,20.36,20.2,20.27,2492112
"2007-01-29",20.06,20.12,18.99,19.93,10270754
"2007-01-30",19.8,20.01,19.7,19.96,3474252
"2007-01-31",19.88,19.96,19.68,19.9,3590362
"2007-02-01",19.82,19.83,19.6,19.66,4502018
"2007-02-02",18.4,18.56,18.26,18.56,16588224
"2007-02-05",18.65,18.83,18.6,18.8,3443738
"2007-02-06",18.83,18.83,18.42,18.6,4868630
"2007-02-07",18.58,18.92,18.54,18.85,5721860
"2007-02-08",18.5,18.68,18.4,18.68,3808558
"2007-02-09",18.49,18.54,18.2,18.22,8845290
"2007-02-12",18.06,18.08,17.9,17.96,6424774
"2007-02-13",18.07,18.18,17.96,18.14,2504812
"2007-02-14",18.38,18.74,18.36,18.69,7639840
"2007-02-15",18.5,18.53,18.4,18.46,7376954
"2007-02-16",18.16,18.27,18.1,18.26,3058748
"2007-02-20",18.3,18.46,18.19,18.41,3783794
"2007-02-21",18.04,18.22,17.98,18.22,2866448
"2007-02-22",18.04,18.2,18.04,18.18,12054012
"2007-02-23",18.28,18.48,18.28,18.4,4203558
"2007-02-26",18.56,18.62,18.43,18.5,4050978
"2007-02-27",17.84,18.24,17.63,17.95,12023284
"2007-02-28",17.83,17.96,17.64,17.88,6489560
"2007-03-01",17.2,17.64,16.97,17.5,10469154
"2007-03-02",17.4,17.68,17.34,17.36,4448158
"2007-03-05",17,17.38,17,17.19,5644352
"2007-03-06",17.36,17.46,17.13,17.3,5103420
"2007-03-07",17.08,17.25,17.04,17.15,6195506
"2007-03-08",17.32,17.52,17.32,17.42,3961136
"2007-03-09",17.46,17.53,17.24,17.36,4094618
"2007-03-12",17.5,17.83,17.48,17.81,5760172
"2007-03-13",17.76,17.89,17.38,17.44,5587230
"2007-03-14",17.42,17.72,17.32,17.64,11357810
"2007-03-15",17.48,17.76,17.48,17.66,3131816
"2007-03-16",17.7,17.83,17.58,17.68,5872074
"2007-03-19",17.98,18.14,17.94,18.11,6045358
"2007-03-20",17.98,18.32,17.93,18.28,3413012
"2007-03-21",18.44,19.04,18.34,19.02,10947872
"2007-03-22",19,19.12,18.85,18.91,5069194
"2007-03-23",19.01,19.1,18.84,18.88,3939650
"2007-03-26",18.74,18.84,18.53,18.82,3357632
"2007-03-27",18.54,18.64,18.42,18.58,3447398
"2007-03-28",18.26,18.34,18.08,18.12,4414174
"2007-03-29",18.34,18.45,18.22,18.42,3969490
"2007-03-30",18.44,18.56,18.32,18.54,5333538
"2007-04-02",18.2,18.35,18.12,18.3,4358070
"2007-04-03",18.34,18.57,18.33,18.49,4264204
"2007-04-04",18.5,18.62,18.46,18.62,2323044
"2007-04-05",18.66,18.8,18.62,18.76,2303614
"2007-04-09",18.76,18.87,18.74,18.74,1569068
"2007-04-10",18.98,19.44,18.98,19.42,6438866
"2007-04-11",19.42,19.45,19.14,19.18,4401010
"2007-04-12",18.86,19.09,18.82,19.08,2816546
"2007-04-13",19.15,19.28,19.04,19.26,2422926
"2007-04-16",19.58,19.76,19.54,19.72,3931194
"2007-04-17",19.66,19.68,19.46,19.52,1856464
"2007-04-18",19.54,19.67,19.39,19.56,3101200
"2007-04-19",19.56,19.92,19.53,19.84,3729266
"2007-04-20",19.6,19.62,19.25,19.28,5355570
"2007-04-23",19.02,19.38,18.97,19.3,4841396
"2007-04-24",19.6,19.62,19.38,19.46,2799716
"2007-04-25",19.65,20,19.6,19.98,5604570
"2007-04-26",19.32,19.36,19.04,19.27,8085610
"2007-04-27",19.13,19.3,19.09,19.24,4175026
"2007-04-30",19.3,19.46,19.05,19.08,2694170
"2007-05-01",19.11,19.34,19.11,19.3,2240852
"2007-05-02",19.27,19.52,19.24,19.4,3753552
"2007-05-03",19.15,19.26,19.12,19.18,4305540
"2007-05-04",19.24,19.52,19.2,19.45,3376970
"2007-05-07",19.64,19.74,19.55,19.56,2311702
"2007-05-08",19.26,19.27,19.04,19.22,4332320
"2007-05-09",18.88,19.1,18.74,19.06,6217046
"2007-05-10",18.89,18.89,18.42,18.44,4817970
"2007-05-11",18.44,18.79,18.4,18.78,3729300
"2007-05-14",19.18,19.28,19,19.1,5723760
"2007-05-15",19.14,19.28,19.04,19.06,3549930
"2007-05-16",19.17,19.32,18.99,19.22,2691848
"2007-05-17",19.1,19.16,18.98,19.11,2026822
"2007-05-18",19.1,19.26,19.06,19.2,2660424
"2007-05-21",19.1,19.15,19.02,19.06,3022658
"2007-05-22",19.18,19.21,19.02,19.07,2209324
"2007-05-23",19.32,19.38,19.1,19.14,2928626
"2007-05-24",19.19,19.26,18.89,18.98,5843142
"2007-05-25",19.16,19.3,19.16,19.24,3534872
"2007-05-29",19.2,19.22,18.97,19.06,2925038
"2007-05-30",18.84,19,18.8,18.96,3138980
"2007-05-31",19.1,19.18,18.87,18.99,3637772
"2007-06-01",18.98,19.13,18.96,19.1,3055762
"2007-06-04",19.07,19.13,18.96,19.07,3952686
"2007-06-05",19.26,19.37,19.16,19.34,5262718
"2007-06-06",19.21,19.24,18.86,18.94,5889568
"2007-06-07",18.78,18.86,18.28,18.34,7987516
"2007-06-08",18.36,18.6,18.28,18.57,4155668
"2007-06-11",18.66,18.83,18.58,18.71,3805830
"2007-06-12",18.36,18.38,18.05,18.18,7345204
"2007-06-13",18.34,18.44,18.18,18.43,6883372
"2007-06-14",18.48,18.7,18.48,18.64,10086906
"2007-06-15",18.84,18.98,18.74,18.84,7117900
"2007-06-18",19.1,19.84,19.1,19.68,7927904
"2007-06-19",19.78,19.86,19.66,19.76,5524680
"2007-06-20",19.98,20.09,19.76,19.78,7502354
"2007-06-21",19.94,19.98,19.55,19.88,6739132
"2007-06-22",19.84,19.96,19.48,19.6,3197460
"2007-06-25",19.69,19.71,19.38,19.44,3240580
"2007-06-26",19.74,19.8,19.5,19.58,2916930
"2007-06-27",19.59,19.9,19.51,19.84,2213026
"2007-06-28",20.02,20.26,19.98,20.08,3507684
"2007-06-29",20.06,20.09,19.82,19.94,2840430
"2007-07-02",20.18,20.34,20.14,20.33,3246584
"2007-07-03",20.71,20.85,20.67,20.68,3098834
"2007-07-05",20.8,20.81,20.56,20.76,3174864
"2007-07-06",20.76,20.83,20.68,20.78,3824578
"2007-07-09",20.98,21.18,20.96,21.13,4599770
"2007-07-10",20.98,20.98,20.7,20.75,6242792
"2007-07-11",20.74,20.86,20.64,20.73,3837958
"2007-07-12",20.99,21.7,20.98,21.68,5850200
"2007-07-13",21.26,21.3,21.14,21.2,3893832
"2007-07-16",21,21.12,20.9,21,2127580
"2007-07-17",20.74,20.94,20.69,20.86,2511440
"2007-07-18",20.74,20.91,20.56,20.8,2995564
"2007-07-19",21.06,21.26,20.79,21.04,5648564
"2007-07-20",19.97,20.13,19.83,19.92,15614456
"2007-07-23",19.91,20,19.72,19.75,8422194
"2007-07-24",19.51,19.54,19.24,19.28,11040194
"2007-07-25",19.4,19.44,18.99,19.2,3612802
"2007-07-26",18.88,19.1,18.38,18.66,6587118
"2007-07-27",18.86,19.02,18.62,18.62,5532002
"2007-07-30",19.2,19.4,19.06,19.3,4691176
"2007-07-31",18.97,19.1,18.69,18.7,4702780
"2007-08-01",18.67,18.78,18.4,18.76,5010302
"2007-08-02",19.09,19.4,19.06,19.3,7647310
"2007-08-03",19.42,19.46,18.78,18.78,4129924
"2007-08-06",18.97,19.05,18.64,19.04,5102662
"2007-08-07",18.74,19.08,18.68,18.96,3979968
"2007-08-08",19.1,19.45,19.1,19.38,4983082
"2007-08-09",18.67,19,18.48,18.54,6225238
"2007-08-10",18.5,18.75,18.29,18.67,5404394
"2007-08-13",18.47,18.48,18.2,18.22,3771792
"2007-08-14",18.31,18.42,18.08,18.09,3431488
"2007-08-15",17.85,18.18,17.66,17.7,5079488
"2007-08-16",17.3,17.62,16.83,17.42,9673160
"2007-08-17",17.55,17.84,17.3,17.76,6079068
"2007-08-20",17.75,17.92,17.62,17.86,2699552
"2007-08-21",17.75,17.96,17.68,17.84,2165540
"2007-08-22",17.94,18.18,17.9,18.16,2304200
"2007-08-23",18.2,18.41,18.14,18.3,3712804
"2007-08-24",18.24,18.55,18.22,18.52,3994464
"2007-08-27",18.21,18.24,18.06,18.08,3139978
"2007-08-28",18,18.08,17.56,17.59,4598120
"2007-08-29",17.83,18.24,17.74,18.21,3057118
"2007-08-30",17.95,18.36,17.92,18.16,2372666
"2007-08-31",18.59,18.74,18.4,18.6,2753276
"2007-09-04",18.41,18.89,18.37,18.76,3979692
"2007-09-05",18.34,18.5,18.24,18.36,4417406
"2007-09-06",18.5,18.53,18.21,18.26,5702998
"2007-09-07",18.2,18.3,17.97,18.14,4374392
"2007-09-10",18.33,18.4,17.98,18.12,2220792
"2007-09-11",18.8,19.22,18.74,19.13,7552784
"2007-09-12",19.3,19.74,19.28,19.62,6931028
"2007-09-13",19.76,19.9,19.66,19.8,6296120
