"Date","Open","Hight","Low","Close","Volume"
"2007-01-03",2.36,2.5,2.36,2.42,73064
"2007-01-04",2.44,2.52,2.42,2.5,8928
"2007-01-05",2.5,2.54,2.42,2.44,13400
"2007-01-08",2.44,2.46,2.4,2.4,19596
"2007-01-09",2.38,2.5,2.38,2.5,36445
"2007-01-10",2.46,2.52,2.4,2.5,35580
"2007-01-11",2.5,2.74,2.5,2.7,69893
"2007-01-12",2.66,3.24,2.66,3,218009
"2007-01-16",3.04,3.22,3.02,3.14,78254
"2007-01-17",3.2,3.24,3.06,3.1,76405
"2007-01-18",3.1,3.16,2.8,2.8,72592
"2007-01-19",2.8,2.98,2.8,2.92,40656
"2007-01-22",2.96,3,2.88,2.92,33364
"2007-01-23",2.96,3.02,2.82,3,71608
"2007-01-24",3,3.28,2.98,3.06,110708
"2007-01-25",3.14,3.42,3.06,3.26,84859
"2007-01-26",3.36,3.46,3.26,3.28,39805
"2007-01-29",3.32,3.36,3.2,3.2,34280
"2007-01-30",3.16,3.26,3,3.2,36193
"2007-01-31",3.2,3.54,3.2,3.52,92176
"2007-02-01",3.56,3.8,3.54,3.7,118570
"2007-02-02",3.74,4.02,3.74,3.93,139128
"2007-02-05",3.94,4.2,3.94,4.02,169788
"2007-02-06",4.1,4.18,4,4,78563
"2007-02-07",3.98,4.06,3.72,3.98,120708
"2007-02-08",3.94,4.1,3.94,3.98,25041
"2007-02-09",4,4.08,3.7,3.8,48397
"2007-02-12",3.88,3.92,3.54,3.64,92306
"2007-02-13",3.54,3.74,3.5,3.68,48734
"2007-02-14",3.7,3.86,3.66,3.82,27552
"2007-02-15",3.82,3.86,3.8,3.8,16218
"2007-02-16",3.8,3.86,3.72,3.84,37746
"2007-02-20",3.8,3.84,3.72,3.8,25378
"2007-02-21",3.76,3.82,3.64,3.7,25362
"2007-02-22",3.7,3.78,3.7,3.7,10296
"2007-02-23",3.7,3.78,3.7,3.7,6380
"2007-02-26",3.7,4.2,3.7,4.2,150371
"2007-02-27",4.16,4.16,3.9,3.97,112516
"2007-02-28",3.82,3.9,3.7,3.9,72659
"2007-03-01",3.88,3.92,3.52,3.74,32066
"2007-03-02",3.62,3.7,3.5,3.5,40856
"2007-03-05",3.4,3.46,3.1,3.34,99408
"2007-03-06",3.42,3.78,3.42,3.62,45173
"2007-03-07",3.62,3.76,3.56,3.68,36858
"2007-03-08",3.74,3.74,3.58,3.7,17001
"2007-03-09",3.72,3.72,3.5,3.54,28068
"2007-03-12",3.5,3.56,3.26,3.44,29150
"2007-03-13",3.38,3.44,3.26,3.34,38450
"2007-03-14",3.58,3.92,3.54,3.92,174474
"2007-03-15",3.92,4.08,3.66,3.84,729074
"2007-03-16",3.92,3.92,3.7,3.74,26728
"2007-03-19",3.8,4,3.78,3.86,34357
"2007-03-20",3.9,3.94,3.72,3.72,20864
"2007-03-21",3.72,3.72,3.6,3.66,39480
"2007-03-22",3.62,3.66,3.6,3.64,13188
"2007-03-23",3.62,3.88,3.6,3.78,24325
"2007-03-26",3.74,3.92,3.74,3.78,11980
"2007-03-27",3.8,3.82,3.76,3.78,6316
"2007-03-28",3.78,3.8,3.68,3.74,18906
"2007-03-29",3.74,3.8,3.72,3.72,5350
"2007-03-30",3.7,4,3.7,3.94,54276
"2007-04-02",4.06,4.06,3.8,3.96,29057
"2007-04-03",3.86,4.02,3.8,3.98,10740
"2007-04-04",3.96,4,3.82,3.84,20010
"2007-04-05",3.88,3.94,3.82,3.92,21738
"2007-04-09",3.92,4.5,3.92,4.5,277810
"2007-04-10",4.5,4.6,4.22,4.27,83809
"2007-04-11",4.24,4.28,4.1,4.26,32125
"2007-04-12",4.36,4.72,4.28,4.65,142292
"2007-04-13",4.72,5.08,4.68,4.88,266931
"2007-04-16",4.9,5.1,4.46,4.58,136216
"2007-04-17",4.62,4.72,4.36,4.44,126142
